,nam,address,telephone,city
0,Pharmacie Tildi,"Pharmacie Tildi, lotiss. tildi, rue ou... ",052882...,Agadir
1,Pharmacie Chadia,"Pharmacie Chadia, lotiss. mohammadia, ... ",052822...,Agadir
2,Pharmacie Amrani,"Pharmacie Amrani, n°1, parcelle 1843,... ",052828...,Agadir
3,Pharmacie El Wafa,"Pharmacie El Wafa, 25 bis, bd abderrah... ",052822...,Agadir
4,Pharmacie Cadi Ben Driss,"Pharmacie Cadi Ben Driss, hay dakhla, ... ",052823...,Agadir
5,Pharmacie Valtur,"Pharmacie Valtur, 1, secteur touristiq... ",052882...,Agadir
6,Pharmacie El Hassania,"Pharmacie El Hassania, 56  lotiss. has... ",052820...,Agadir
7,Pharmacie Tikida,"Pharmacie Tikida, hay al houda, imm. t... ",052832...,Agadir
8,Pharmacie Ouahbi,"Pharmacie Ouahbi, 56, rue al wahda al ... ",052823...,Agadir
9,Pharmacie Nisrine,"Pharmacie Nisrine, 58, hay bensergao, ... ",052828...,Agadir
10,Pharmacie Al Haad,"Pharmacie Al Haad, anza al oulya imm9 ... ",052820...,Agadir
11,Pharmacie Iswane,"Pharmacie Iswane, rue jaâfar essadik ... ",053767...,Casablance
12,Pharmacie Marassa,"Pharmacie Marassa, angle avenue misr e... ",053720...,Casablance
13,Pharmacie Secteur 15,"Pharmacie Secteur 15, 10 avenue mohame... ",053002...,Casablance
14,Pharmacie Moulay Ismail,"Pharmacie Moulay Ismail,  
24.av mly... ",053720...,Casablance
15,Pharmacie L'enfant, ,053765...,Casablance
16,Pharmacie Al Bouchra, ,053779...,Casablance
17,Pharmacie Kasry,"Pharmacie Kasry, 90 amal 5 complément... ",053779...,Casablance
18,Pharmacie Chaymae,"Pharmacie Chaymae, lotissement al madi... ",053572...,Casablance
19,Pharmacie Cotef,"Pharmacie Cotef, lotissement. el fath ... ",053573...,Casablance
20,Pharmacie Blida,"Pharmacie Blida, n°30 chouwara. hay b... ",063277...,Casablance
21,Pharmacie Saida,"Pharmacie Saida, hay saida   résid. s... ",053564...,Casablance
22,Pharmacie Chifae Oulad Maala,"Pharmacie Chifae Oulad Maala, hay ain ... ",066227...,Rabat
23,Pharmacie Al Farabi,"Pharmacie Al Farabi, lotissement al ha... ",053562...,Rabat
24,Pharmacie Ibn Annafis,"Pharmacie Ibn Annafis, avenue des far,... ",053995...,Rabat
25,Pharmacie Zahara,"Pharmacie Zahara, avenue zahara, rue 4... ",053936...,Rabat
26,Pharmacie Ain Hayyani,"Pharmacie Ain Hayyani, avenue imam kas... ",053993...,Rabat
27,Pharmacie Yamania,"Pharmacie Yamania, 139, avenue des far... ",053938...,Rabat
28,Pharmacie El Mesnaoui,"Pharmacie El Mesnaoui, sidi driss mers... ",053930...,Rabat
29,Pharmacie La Raison,"Pharmacie La Raison, avenue mossab ibn... ",053942...,Rabat
30,Pharmacie Aazib Abakkiwe,"Pharmacie Aazib Abakkiwe, reu aazib ab... ",052023...,Rabat
31,Pharmacie Saada,"Pharmacie Saada, 3, place des arènes,... ",053936...,Rabat
32,Pharmacie Chakir,"Pharmacie Chakir, Kaouki , rue 1 n°10... ",052465...,Rabat
33,Pharmacie Al Amana,"Pharmacie Al Amana, 78, douar ouled el... ",052432...,Fes
34,Pharmacie AlFajr,"Pharmacie AlFajr,   Quartier Al Azzouz... ",054003...,Fes
35,Pharmacie AlAbawayn,"Pharmacie AlAbawayn,   lotiss. Al Fadl... ",052433...,Fes
36,Pharmacie Oscar,"Pharmacie Oscar, 98, Lot. Azzaytoune M... ",052437...,Fes
37,Pharmacie Oumaima,"Pharmacie Oumaima, 506, Lot. Socoma de... ",052449...,Fes
38,Pharmacie Arset Banni,"Pharmacie Arset Banni, en face de bab ... ",052438...,Fes
39,Pharmacie LaÂrif,"Pharmacie LaÂrif, 328, Lot. Maâtalla... ",052437...,Fes
40,Pharmacie Zohour,"Pharmacie Zohour, Zohour 2 Aïn Itti d... ",052432...,Fes
41,Pharmacie Ibn Al Aouam,"Pharmacie Ibn Al Aouam, imm. al ahbass... ",052506...,Fes
42,Pharmacie Bab Mansour,"Pharmacie Bab Mansour, op. bab mansour... ",062268...,Fes
43,Pharmacie Al Ihssane,"Pharmacie Al Ihssane, 39, dar al bir w... ",052430...,Fes
44,Pharmacie Sofia,"Pharmacie Sofia, Lot. Sofia, Résid. B... ",052434...,Tanger
45,Pharmacie Riad LaÂrouss,"Pharmacie Riad LaÂrouss, 214, Rue Lag... ",052438...,Tanger
46,Pharmacie Les Cypres,"Pharmacie Les Cypres, 127, lot. mabrou... ",052443...,Tanger
47,Pharmacie Oum Rabii,"Pharmacie Oum Rabii, massira 3 bloc c ... ",052434...,Tanger
48,Pharmacie Masjid Daoudiate, ,052430...,Tanger
49,Pharmacie Moukawama,"Pharmacie Moukawama, av. moukawama nou... ",052443...,Tanger
50,Pharmacie Du Golf,"Pharmacie Du Golf, 10/11, souk r’bii... ",052440...,Tanger
51,Pharmacie Al Boustane,"Pharmacie Al Boustane, 10, av. allal f... ",052430...,Tanger
52,Pharmacie Abdelkarim ElKhattabi,"Pharmacie Abdelkarim ElKhattabi, 154  ... ",052443...,Tanger
53,Pharmacie Noujoud,"Pharmacie Noujoud, 19, bloc 4 résiden... ",052444...,Tanger
54,Pharmacie Chair ElHamra,"Pharmacie Chair ElHamra, 36  rue Abou ... ",052430...,Tanger
55,Pharmacie Les Narcisses,"Pharmacie Les Narcisses, sur av. allal... ",052430...,Safi
56,Pharmacie Imam Mouslim ,"Pharmacie Imam Mouslim , 381, saada 6 ... ",052436...,Safi
57,Pharmacie Qaryia Syahyia,"Pharmacie Qaryia Syahyia, Qaria Syahia... ",052430...,Safi
58,Pharmacie Chams Nakhil,"Pharmacie Chams Nakhil, lakhili arset ... ",052980...,Safi
59,Pharmacie Al Hamd,"Pharmacie Al Hamd, 251, Lot. Zerktouni... ",052436...,Safi
60,Pharmacie Borj Targa,"Pharmacie Borj Targa, route de targa, ... ",052434...,Safi
61,Pharmacie Alousra,"Pharmacie Alousra, 661  Hay M'hamid 2 ... ",052437...,Safi
62,Pharmacie Bismi Allah,"Pharmacie Bismi Allah, de Mc Do rte de... ",052503...,Safi
63,Pharmacie Fleming,"Pharmacie Fleming, derrière le cimeti... ",052442...,Safi
64,Pharmacie Hay Assanoubar,"Pharmacie Hay Assanoubar, 460, Hay Ass... ",052435...,Safi
65,Pharmacie Maghreb,"Pharmacie Maghreb, 8, Rue Ibn Khaldoun... ",052444...,Safi
